id,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,scheduled_service,iata_code,local_code
27083,medium_airport,Ngukurr Airport,-14.7228002548218,134.746994018555,45,AU,,no,RPM,
27086,medium_airport,Narromine Airport,-32.2146987915039,148.225006103516,782,AU,,no,QRM,
332096,large_airport,Yantai Penglai International Airport,37.657222,120.987222,154,CN,Yantai,yes,YNT,
27088,medium_airport,Normanton Airport,-17.68409,141.069664,73,AU,Normanton,yes,NTN,
27090,medium_airport,Newman Airport,-23.4178009033,119.803001404,1724,AU,Newman,yes,ZNE,
27095,medium_airport,Orange Airport,-33.3816986084,149.132995605,3115,AU,Orange,no,OAG,
27096,large_airport,Adelaide International Airport,-34.945,138.531006,20,AU,Adelaide,yes,ADL,
27097,medium_airport,Port Augusta Airport,-32.5069007873535,137.716995239258,56,AU,,yes,PUG,
27099,medium_airport,Paraburdoo Airport,-23.1711006165,117.745002747,1406,AU,Paraburdoo,yes,PBO,
27100,medium_airport,Cocos (Keeling) Islands Airport,-12.19134,96.833696,10,CC,West Island,yes,CCK,
27101,medium_airport,Darwin International Airport,-12.4146995544434,130.876998901367,103,AU,Darwin,yes,DRW,
27104,medium_airport,Gove Airport,-12.2693996429,136.817993164,192,AU,Nhulunbuy,yes,GOV,
27105,medium_airport,Port Pirie Airport,-33.238899230957,137.994995117188,40,AU,,no,PPI,
27106,medium_airport,Perth Jandakot Airport,-32.0974998474121,115.880996704102,99,AU,Perth,no,JAD,
27107,medium_airport,Karratha Airport,-20.7122001648,116.773002625,29,AU,Karratha,yes,KTA,
27108,medium_airport,Kalgoorlie Boulder Airport,-30.7894001007,121.461997986,1203,AU,Kalgoorlie,yes,KGI,
27109,medium_airport,Parkes Airport,-33.131401062,148.238998413,1069,AU,Parkes,yes,PKE,
27110,medium_airport,Port Keats Airport,-14.25,129.529006958008,91,AU,,no,PKT,
27111,medium_airport,Kununurra Airport,-15.7781000137,128.707992554,145,AU,Kununurra,yes,KNX,
